Peripheral,Generic Atom Name
EMAC0,hps_interface_peripheral_emac,
EMAC1,hps_interface_peripheral_emac,
NAND,hps_interface_peripheral_nand,
QSPI,hps_interface_peripheral_qspi,
SDIO,hps_interface_peripheral_sdmmc,
USB0,hps_interface_peripheral_usb,
USB1,hps_interface_peripheral_usb,
SPIM0,hps_interface_peripheral_spi_master,
SPIM1,hps_interface_peripheral_spi_master,
SPIS0,hps_interface_peripheral_spi_slave,
SPIS1,hps_interface_peripheral_spi_slave,
UART0,hps_interface_peripheral_uart,
UART1,hps_interface_peripheral_uart,
I2C0,hps_interface_peripheral_i2c,
I2C1,hps_interface_peripheral_i2c,
I2C2,hps_interface_peripheral_i2c,
I2C3,hps_interface_peripheral_i2c,
CAN0,hps_interface_peripheral_can,
CAN1,hps_interface_peripheral_can,
